【3.1.1】智能音箱-用户使用习惯分析<br>分析哪些功能最常被使用<br><br>📊 数据结构：<br>• 列A：用户ID<br>• 列B：时间戳<br>• 列C：功能调用类型<br>• 列D：响应时间<br><br>📋 数据示例（前3行）：<br>用户ID | 时间戳 | 功能调用类型 | 响应时间<br>47 | 2023-03-26 02:22:30 | 播放音乐 | 1.53<br>92 | 2023-04-15 19:44:05 | 查天气 | 1.97<br>33 | 2023-02-28 13:45:13 | 提醒事项 | 2.61<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 方法1：数据透视表（推荐）<br>1. 选中A1:D1001（Ctrl+A）<br>2. 插入 → 数据透视表 → 新工作表<br>3. 将"功能调用类型"拖到"行"区域<br>4. 将"功能调用类型"拖到"值"区域<br>5. 右键值字段 → 值字段设置 → 选择"计数"<br>6. 右键计数结果 → 排序 → 降序<br>7. 查看前3个功能<br><br>🔧 方法2：COUNTIF函数<br>=COUNTIF(C:C, "调整音量")<br>=COUNTIF(C:C, "查询新闻")<br>=COUNTIF(C:C, "查天气")<br>对每个功能计数后比较大小<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>最常被使用的功能（前3个）：<br>1. 调整音量<br>2. 查询新闻<br>3. 查天气<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.1/智能音箱数据集.xlsx')<br>print(df['功能调用类型'].value_counts())</pre>
【3.1.3】智能手环-优化方向及解决方案<br>给出3个优化方向和对应解决方案<br><br>📊 数据结构：<br>• 基于前面3个任务的分析结果<br><br>【Excel操作】;【标准答案】<br><br><b>优化方向1：</b>提升用户活动监测精度<br><b>解决方案1：</b>增强传感器算法，改进加速度计和陀螺仪算法，更准确捕捉用户动作，区分不同类型活动<br><br><b>优化方向2：</b>加强健康教育与个性化指导<br><b>解决方案2：</b>定制化健康计划，基于用户个人数据和偏好制定个性化健康管理方案<br><br><b>优化方向3：</b>优化数据同步效率<br><b>解决方案3：</b>优化同步协议，减少不必要握手步骤；自动调整同步策略，动态调整同步频率<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre># 此题为文字题，无需Python验证<br># 基于前面分析结果给出优化方案</pre>
【3.1.4】健康监测-用户活动周期<br>分析用户一天中不同时间段的健康指标变化趋势，确定高风险时段和安全时段<br><br>📊 数据结构：<br>• 列A：时间戳（如 2024-09-15 00:00）<br>• 列B：收缩压<br>• 列C：舒张压<br>• 列D：血糖<br>• 列E：体脂分析<br>• 列F：响应时间<br><br>📋 数据示例（前3行）：<br>时间戳 | 收缩压 | 舒张压 | 血糖 | 体脂分析 | 响应时间<br>2024-09-15 00:00 | 111.0 | 80.0 | NaN | NaN | 0.80<br>2024-09-15 06:00 | 128.0 | 79.0 | NaN | NaN | 0.50<br>2024-09-15 07:00 | NaN | NaN | 4.37 | NaN | 0.89<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 步骤1：提取小时<br>在G2单元格输入：<br>=HOUR(A2)<br>下拉填充到整列<br><br>🔧 步骤2：分析血压趋势（早晨06-08点）<br>=AVERAGEIFS(B:B, G:G, ">=6", G:G, "<=8")  → 早晨平均收缩压<br>=AVERAGEIFS(B:B, G:G, ">=0", G:G, "<=5")  → 凌晨平均收缩压<br>对比发现早晨血压上升<br><br>🔧 步骤3：分析血糖趋势（进餐后时段）<br>=AVERAGEIFS(D:D, G:G, ">=7", G:G, "<=9")  → 早餐后进餐<br>=AVERAGEIFS(D:D, G:G, ">=12", G:G, "<=14") → 午餐后<br>=AVERAGEIFS(D:D, G:G, ">=18", G:G, "<=20") → 晚餐后<br>对比发现进餐后血糖升高<br><br>🔧 步骤4：判断风险时段<br>• 06:00-22:00：血压和血糖波动大 → 高风险<br>• 22:00-06:00：指标相对稳定 → 安全<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>健康指标变化趋势：<br>• 血压在早晨（06:00-08:00）有明显上升趋势<br>• 血糖水平在进餐后（07:00-09:00、12-14、18-20）显著升高<br>• 体脂数据记录稀疏，难以得出明确趋势<br><br>高风险时间段：06:00至22:00<br>安全时间段：22:00至06:00<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.4/智能健康监测系统数据集.xlsx')<br>df['hour'] = pd.to_datetime(df['时间戳']).dt.hour<br>morning = df[(df['hour']>=6)&(df['hour']<=8)]['收缩压'].mean()<br>night = df[(df['hour']>=0)&(df['hour']<=5)]['收缩压'].mean()<br>print(f'早晨血压:{morning:.2f}, 凌晨血压:{night:.2f}')</pre>
【3.1.4】健康监测-健康指标偏好度<br>识别哪些健康监测功能受用户青睐，哪些功能使用较少<br><br>📊 数据结构：<br>• 列B：收缩压（血压监测）<br>• 列C：舒张压（血压监测）<br>• 列D：血糖（血糖检测）<br>• 列E：体脂分析<br><br>📋 数据示例：<br>收缩压 | 舒张压 | 血糖 | 体脂分析<br>111.0 | 80.0 | NaN | NaN<br>128.0 | 79.0 | NaN | NaN<br>NaN | NaN | 4.37 | NaN<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 统计各指标数据量：<br>=COUNTA(B:B)  → 收缩压数量（血压监测）<br>=COUNTA(C:C)  → 舒张压数量（血压监测）<br>=COUNTA(D:D)  → 血糖数量（血糖检测）<br>=COUNTA(E:E)  → 体脂分析数量<br><br>💡 提示：<br>• 数据量多=受青睐<br>• 数据量少=较少使用<br>• 血压和血糖数据多，体脂数据少<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>受用户青睐的功能：血压监测、血糖检测<br>较少使用的功能：体脂分析<br><br>注：<br>• 收缩压值、舒张压值属于血压监测功能<br>• 血糖值属于血糖检测功能<br>• 体脂值属于体脂分析功能<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.4/智能健康监测系统数据集.xlsx')<br>print(f"血压: {df['收缩压'].notna().sum()}条")<br>print(f"血糖: {df['血糖'].notna().sum()}条")<br>print(f"体脂: {df['体脂分析'].notna().sum()}条")</pre>
【3.1.4】健康监测-系统响应与准确性<br>评估系统在监测各项健康指标时的响应时间，找出可能导致误报或延迟的关键因素<br><br>📊 数据结构：<br>• 列F：响应时间<br><br>📋 数据示例：<br>响应时间：0.80, 0.50, 0.89, ...<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 数据透视表：<br>1. 插入 → 数据透视表<br>2. 行：功能类型（血压/血糖/体脂）<br>   - 需要根据B/C/D/E列是否有值来判断功能类型<br>3. 值：响应时间（列F）→ 平均值<br>4. 排序：降序<br>5. 按数值分长/中/短三档<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>响应时间较长的功能：体脂分析<br>响应时间适中的功能：血压监测<br>响应时间较短的功能：血糖检测<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.4/智能健康监测系统数据集.xlsx')<br>print(df['响应时间'].mean())</pre>
【3.1.4】健康监测-优化方向及解决方案<br>给出3个优化方向和对应解决方案<br><br>📊 数据结构：<br>• 基于前面3个任务的分析结果<br><br>【Excel操作】;【标准答案】<br><br><b>优化方向1：</b>提高关键健康指标的预警精度<br><b>解决方案1：</b>引入机器学习算法预测个体用户健康状态，在高风险时段前给出预警<br><br><b>优化方向2：</b>增强用户体验，简化不常用功能的操作流程<br><b>解决方案2：</b>对于体脂等较少使用功能，简化操作步骤或提供更直观的结果展示方式<br><br><b>优化方向3：</b>改善数据同步效率，减少延迟<br><b>解决方案3：</b>优化蓝牙连接协议；优化后台任务管理；采用高性能处理芯片和先进AI算法<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre># 此题为文字题，无需Python验证<br># 基于前面分析结果给出优化方案</pre>
【3.1.5】智能家居-用户环境偏好<br>分析用户在一天中不同时段对温度、湿度和光照强度的偏好设置<br><br>📊 数据结构：<br>• 列A：时间戳（如 2023-12-29 21:00:00）<br>• 列B：温度<br>• 列C：湿度<br>• 列D：光照水平<br>• 列E：响应时间<br>• 列F：能源消耗<br><br>📋 数据示例（前3行）：<br>时间戳 | 温度 | 湿度 | 光照水平 | 响应时间 | 能源消耗<br>2023-12-29 21:00:00 | 23.75 | 54.06 | 511.98 | 3.55 | 1.52<br>2023-04-01 23:00:00 | 24.29 | 50.54 | 439.23 | 4.60 | 0.44<br>2023-12-29 19:00:00 | 26.83 | 61.29 | 732.10 | 4.10 | 0.84<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 步骤1：提取小时<br>在G2单元格输入：<br>=HOUR(A2)<br>下拉填充到整列<br>结果：21, 23, 19, ...<br><br>🔧 步骤2：定义时间段<br>在H2单元格输入：<br>=IF(AND(G2>=6,G2<=12),"06:00-12:00",IF(AND(G2>=13,G2<=18),"13:00-18:00",IF(OR(AND(G2>=19,G2<=23),AND(G2>=0,G2<=5)),"19:00-05:00","")))<br>下拉填充到整列<br><br>🔧 步骤3：数据透视表<br>1. 选中A1:H1001<br>2. 插入 → 数据透视表 → 新工作表<br>3. 行：时间段（列H）<br>4. 值：温度（列B）→ 平均值<br>5. 值：湿度（列C）→ 平均值<br>6. 值：光照水平（列D）→ 平均值<br><br>🔧 步骤4：验证（AVERAGEIFS函数）<br>=AVERAGEIFS(B:B, H:H, "06:00-12:00")  → 24.72<br>=AVERAGEIFS(C:C, H:H, "06:00-12:00")  → 50.18<br>=AVERAGEIFS(D:D, H:H, "06:00-12:00")  → 540.94<br>=AVERAGEIFS(B:B, H:H, "13:00-18:00")  → 24.92<br>=AVERAGEIFS(C:C, H:H, "13:00-18:00")  → 49.08<br>=AVERAGEIFS(D:D, H:H, "13:00-18:00")  → 557.80<br>=AVERAGEIFS(B:B, H:H, "19:00-05:00")  → 25.02<br>=AVERAGEIFS(C:C, H:H, "19:00-05:00")  → 49.92<br>=AVERAGEIFS(D:D, H:H, "19:00-05:00")  → 542.75<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>平均温度、湿度、光照：<br>• 06:00-12:00：24.72℃, 50.18%, 540.94<br>• 13:00-18:00：24.92℃, 49.08%, 557.80<br>• 19:00-05:00：25.02℃, 49.92%, 542.75<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.5/智能家居环境控制系统数据集.xlsx')<br>df['hour'] = pd.to_datetime(df['时间戳']).dt.hour<br>def get_period(h):<br>    if 6<=h<=12: return '06:00-12:00'<br>    if 13<=h<=18: return '13:00-18:00'<br>    if 19<=h<=23 or 0<=h<=5: return '19:00-05:00'<br>    return ''<br>df['period'] = df['hour'].apply(get_period)<br>print(df.groupby('period')[['温度','湿度','光照水平']].mean())</pre>
【3.1.5】智能家居-系统响应时间<br>评估用户操作到系统反馈的平均延迟，找出影响响应速度的因素<br><br>📊 数据结构：<br>• 列E：响应时间<br><br>📋 数据示例：<br>响应时间：3.55, 4.60, 4.10, ...<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 计算平均响应时间：<br>=AVERAGE(E:E)  → 3.02<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>平均响应时间：3.02秒<br>影响因素：<br>• 网络延迟<br>• 系统处理能力<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.5/智能家居环境控制系统数据集.xlsx')<br>print(df['响应时间'].mean())</pre>
【3.1.5】智能家居-能源消耗分析<br>识别系统的平均能耗，寻找节能潜力<br><br>📊 数据结构：<br>• 列F：能源消耗<br><br>📋 数据示例：<br>能源消耗：1.52, 0.44, 0.84, ...<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 计算平均能耗：<br>=AVERAGE(F:F)  → 1.02<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>平均能源消耗：1.02<br>节能潜力：<br>• 通过优化算法减少不必要的操作次数<br>• 利用预测模型提前准备，避免频繁启停设备造成的额外耗电<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.5/智能家居环境控制系统数据集.xlsx')<br>print(df['能源消耗'].mean())</pre>
【3.1.5】智能家居-优化方向及解决方案<br>给出3个优化方向和对应解决方案<br><br>📊 数据结构：<br>• 基于前面3个任务的分析结果<br><br>【Excel操作】;【标准答案】<br><br><b>优化方向1：</b>提升系统响应速度<br><b>解决方案1：</b>升级硬件（更快处理器和高效网络模块）；优化软件算法（简化计算步骤，并行化处理）；预加载机制<br><br><b>优化方向2：</b>加强个性化用户体验<br><b>解决方案2：</b>机器学习预测用户行为；自定义场景创建；反馈循环收集意见<br><br><b>优化方向3：</b>实现更加智能的能源管理<br><b>解决方案3：</b>动态负载调度；能量回收技术；精细能耗监控<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre># 此题为文字题，无需Python验证<br># 基于前面分析结果给出优化方案</pre>
【通用】时间段划分规则<br>记住各题目的时间段划分方式<br><br>📊 数据结构：<br>• 需要从时间列提取小时<br>• 根据小时定义时间段<br><br>【Excel操作】;【时间段划分规则】<br><br><b>3.1.1/3.1.2（6~11, 12~17, 18~23，包含边界）：</b><br>=IF(AND(HOUR(A2)>=6,HOUR(A2)<=11),"06:00-11:00",IF(AND(HOUR(A2)>=12,HOUR(A2)<=17),"12:00-17:00",IF(AND(HOUR(A2)>=18,HOUR(A2)<=23),"18:00-23:00","00:00-05:00")))<br><br><b>3.1.3（6~8, 17~20，包含边界）：</b><br>=IF(AND(HOUR(B2)>=6,HOUR(B2)<=8),"06:00-08:00",IF(AND(HOUR(B2)>=17,HOUR(B2)<=20),"17:00-20:00","其余时段"))<br><br><b>3.1.5（6~12, 13~18, 19~23，包含边界，19-23和00-05合并）：</b><br>=IF(AND(HOUR(A2)>=6,HOUR(A2)<=12),"06:00-12:00",IF(AND(HOUR(A2)>=13,HOUR(A2)<=18),"13:00-18:00",IF(OR(AND(HOUR(A2)>=19,HOUR(A2)<=23),AND(HOUR(A2)>=0,HOUR(A2)<=5)),"19:00-05:00","")))<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre># 3.1.1/3.1.2<br>def get_period(h):<br>    if 6<=h<=11: return '06:00-11:00'<br>    if 12<=h<=17: return '12:00-17:00'<br>    if 18<=h<=23: return '18:00-23:00'<br>    return '00:00-05:00'<br><br># 3.1.3<br>def get_period(h):<br>    if 6<=h<=8: return '06:00-08:00'<br>    if 17<=h<=20: return '17:00-20:00'<br>    return '其余时段'<br><br># 3.1.5<br>def get_period(h):<br>    if 6<=h<=12: return '06:00-12:00'<br>    if 13<=h<=18: return '13:00-18:00'<br>    if 19<=h<=23 or 0<=h<=5: return '19:00-05:00'<br>    return ''</pre>
【通用】Excel核心函数<br>记住常用的Excel函数<br><br>📊 常用函数列表<br><br>【Excel操作】;【核心Excel函数】<br><br>1. 提取小时：=HOUR(时间单元格)<br>   示例：=HOUR(A2) → 从"2023-03-26 02:22:30"提取出2<br><br>2. 平均值：=AVERAGE(区域)<br>   示例：=AVERAGE(D:D) → 计算D列平均值<br><br>3. 条件平均：=AVERAGEIF(条件区域,条件,平均区域)<br>   示例：=AVERAGEIF(C:C,"调整音量",D:D)<br><br>4. 多条件平均：=AVERAGEIFS(平均区域,条件区域1,条件1,...)<br>   示例：=AVERAGEIFS(B:B,H:H,"06:00-12:00")<br><br>5. 计数：=COUNTIF(区域,条件)<br>   示例：=COUNTIF(C:C,"调整音量")<br><br>6. 条件判断：=IF(条件,真值,假值)<br>   示例：=IF(A2>10,"高","低")<br><br>7. 非空计数：=COUNTA(区域)<br>   示例：=COUNTA(B:B) → 统计B列非空单元格数量<br><br>━━━━━━━━━━━━━━━━<br><br>【Python对应函数】<br><pre># Excel → Python 对照<br># =HOUR(A2) → df['hour'] = pd.to_datetime(df['时间列']).dt.hour<br># =AVERAGE(D:D) → df['列名'].mean()<br># =AVERAGEIF(C:C,"条件",D:D) → df[df['列']=='条件']['目标列'].mean()<br># =COUNTIF(C:C,"条件") → (df['列']=='条件').sum()<br># =COUNTA(B:B) → df['列名'].notna().sum()</pre>
【通用】数据透视表操作步骤<br>记住数据透视表的操作流程<br><br>📊 数据透视表配置<br><br>【Excel操作】;【数据透视表操作步骤】<br><br>1. 选中数据区域（Ctrl+A）<br>2. 插入 → 数据透视表<br>3. 选择新工作表<br>4. 配置字段：<br>   • 行区域：分类字段（如时间段、功能）<br>   • 值区域：数值字段（设置为平均值/计数）<br>5. 排序：右键 → 排序 → 降序<br><br>━━━━━━━━━━━━━━━━<br><br>💡 常用配置：<br>• 统计频率：行=分类列，值=分类列（计数）<br>• 统计平均值：行=分类列，值=数值列（平均值）<br>• 多指标统计：添加多个值字段<br><br>━━━━━━━━━━━━━━━━<br><br>【Python对应操作】<br><pre># 数据透视表 → groupby<br># 计数: df['列'].value_counts()<br># 平均值: df.groupby('分类列')[['数值列']].mean()<br># 排序: .sort_values(ascending=False)</pre>
【通用】优化方向关键词<br>记住优化方向的分类关键词<br><br>📊 优化方向分类<br><br>【Excel操作】;【优化方向关键词】<br><br>性能优化类：<br>• 提高系统处理能力<br>• 提升响应速度<br>• 优化算法<br><br>用户体验类：<br>• 个性化服务<br>• 简化操作流程<br>• 增强可视化<br><br>效率优化类：<br>• 优化数据同步<br>• 减少延迟<br>• 节能降耗<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre># 此题为文字题，无需Python验证<br># 记住关键词即可</pre>
【通用】解决方案关键词<br>记住解决方案的分类关键词<br><br>📊 解决方案分类<br><br>【Excel操作】;【解决方案关键词】<br><br>技术层面：<br>• 升级硬件（处理器、网络模块）<br>• 优化算法（机器学习、深度学习）<br>• 预加载机制<br><br>用户层面：<br>• 自定义场景<br>• 个性化推荐<br>• 反馈循环<br><br>管理层面：<br>• 自我诊断工具<br>• 动态负载调度<br>• 精细能耗监控<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre># 此题为文字题，无需Python验证<br># 记住关键词即可</pre>
